1,S,1
0.2,S,3
0.4,S,3
0.4,S,3
0.4,S,3
1,S,1
0.2,S,1
0.4,S,1
0.4,S,1
0.4,S,1
1,S,3
0.2,S,3
0.4,S,3
0.4,S,3
1,S,1
0.2,S,3
1,S,1
0.2,S,3
0.4,S,3
0.4,S,3
0.4,S,3
1,S,1
0.2,S,1
0.4,S,1
0.4,S,1
0.4,S,1
1,S,1
0.2,S,3
0.4,S,3
0.4,S,3
1,S,1
0.2,S,3
1,S,1
0.2,S,3
0.4,S,3
0.4,S,3
0.4,S,3
1,S,1
0.2,S,1
0.4,S,1
0.4,S,1
0.4,S,1
1,S,3
0.2,S,3
0.4,S,3
0.4,S,3
1,S,1
0.2,S,3
1,S,1
0.2,S,3
0.4,S,3
0.4,S,3
0.4,S,3
1,S,1
0.2,S,1
0.4,S,1
0.4,S,1
0.4,S,1
1,S,1
0.2,S,3
0.4,S,3
0.4,S,3
1,S,1
0.2,S,3
1,S,1
0.2,S,3
0.4,S,3
0.4,S,3
0.4,S,3
1,S,1
0.2,S,1
0.4,S,1
0.4,S,1
0.4,S,1
1,S,3
0.2,S,3
0.4,S,3
0.4,S,3
1,S,1
0.2,S,3
1,S,1
0.2,S,3
0.4,S,3
0.4,S,3
0.4,S,3
1,S,1
0.2,S,1
0.4,S,1
0.4,S,1
0.4,S,1
1,S,1
0.2,S,3
0.4,S,3
0.4,S,3
1,S,1
0.2,S,3
1,S,1
0.2,S,3
0.4,S,3
0.4,S,3
0.4,S,3
1,S,1
0.2,S,1
0.4,S,1
0.4,S,1
0.4,S,1
1,S,3
0.2,S,3
0.4,S,3
0.4,S,3
1,S,1
0.2,S,3
1,S,1
0.2,S,3
0.4,S,3
0.4,S,3
0.4,S,3
1,S,1
0.2,S,1
0.4,S,1
0.4,S,1
0.4,S,1
1,S,1
0.2,S,3
0.4,S,3
0.4,S,3
1,S,1
0.2,S,3
2,M,2
